web-scraper-order,web-scraper-start-url,link_toko,link_toko-href,nama_toko,Jml_produk,chat,follower,rating_toko,bergabung,promo,alamat_toko,link_produk,link_produk-href,nama_produk,promo_produk,terjual,gratis_ongkir,favorit
"1669205072-1","https://shopee.co.id/mall/brands/11042849","69Slam","https://shopee.co.id/69slam","","439","42% (hitungan jam)","7,5RB","4.8 (1,7RB penilaian)","24 bulan lalu","null","KAB. BADUNG","40%off69slam Sandal pria ARSIKI-ATDiskon 20%Murah LebayRp285.000Rp171.000110 TerjualKAB. BADUNG","https://shopee.co.id/69slam-Sandal-pria-ARSIKI-AT-i.340815435.12428025981?sp_atk=e585f4c2-9c81-4312-8f5e-9741579280f4&xptdk=e585f4c2-9c81-4312-8f5e-9741579280f4","null","null","null","null","null"
"1669205115-2","https://shopee.co.id/mall/brands/11042849","4CM","https://shopee.co.id/4cmstore","","508","36% (hitungan jam)","60,8RB","4.7 (28,5RB penilaian)","5 tahun lalu","null","KOTA DEPOK","30%off4CM Boxer black fireMurah LebayRp99.000Rp69.30010RB+ TerjualKOTA DEPOK","https://shopee.co.id/4CM-Boxer-black-fire-i.32984432.7155464356?sp_atk=9e23d95f-a388-45a0-aff8-fdcbf81f83f6&xptdk=9e23d95f-a388-45a0-aff8-fdcbf81f83f6","null","null","null","null","null"
"1669205160-3","https://shopee.co.id/mall/brands/11042849","4.20","https://shopee.co.id/4.20official","","121","79% (hitungan jam)","50,9RB","4.9 (7,2RB penilaian)","4 tahun lalu","null","KOTA BANDUNG","40%off4.20 T-Shirt Philosophy Mandala NavyPilih 2, bayar Rp170.000Rp170.000Rp102.000331 TerjualKOTA BANDUNG","https://shopee.co.id/4.20-T-Shirt-Philosophy-Mandala-Navy-i.87828273.10739275158?sp_atk=ebb92411-e81e-4d9a-bdea-848c658552be&xptdk=ebb92411-e81e-4d9a-bdea-848c658552be","null","null","null","null","null"
"1669205192-4","https://shopee.co.id/mall/brands/11042849","3Second","https://shopee.co.id/3secondshop","","9,2RB","84% (hitungan jam)","451,9RB","4.9 (116,3RB penilaian)","6 tahun lalu","null","KOTA BANDUNG","40%off3Second Men Jacket 021021Rp449.500Rp269.70049 TerjualKOTA BANDUNG","https://shopee.co.id/3Second-Men-Jacket-021021-i.18358818.11761195939?sp_atk=c281df17-e1d3-4e3e-b21e-e2927d1497ea&xptdk=c281df17-e1d3-4e3e-b21e-e2927d1497ea","null","null","null","null","null"
"1669205219-5","https://shopee.co.id/mall/brands/11042849","308ABSLTUNSCRD","https://shopee.co.id/308absltunscrd","","3,2RB","88% (hitungan jam)","64,8RB","4.8 (21,5RB penilaian)","4 tahun lalu","null","KAB. SLEMAN","308 ABSLTUNSCRD - Bracelete Rubber Gitd Think Positive - BlackDiskon 50%Rp25.000184 TerjualKAB. SLEMAN","https://shopee.co.id/308-ABSLTUNSCRD-Bracelete-Rubber-Gitd-Think-Positive-Black-i.93881215.3200350542?sp_atk=d489442a-40fe-415e-a407-d23303616654&xptdk=d489442a-40fe-415e-a407-d23303616654","null","null","null","null","null"
"1669205244-6","https://shopee.co.id/mall/brands/11042849","3'NThree","https://shopee.co.id/3nthreeofficial","","241","85% (hitungan jam)","7,1RB","4.8 (380 penilaian)","3 tahun lalu","null","KOTA TANGERANG","40%off3Nthree kemeja koko Pria Muslim originalDiskon Rp2,5RBMurah LebayRp249.000Rp149.40032 TerjualKOTA TANGERANG","https://shopee.co.id/3Nthree-kemeja-koko-Pria-Muslim-original-i.184001696.15666321843?sp_atk=135e4b20-0fae-4941-8c65-f33c23ba5ae1&xptdk=135e4b20-0fae-4941-8c65-f33c23ba5ae1","null","null","null","null","null"
"1669205268-7","https://shopee.co.id/mall/brands/11042849","2nd Red","https://shopee.co.id/2ndred","","311","85% (hitungan jam)","8,9RB","4.8 (13,1RB penilaian)","5 tahun lalu","null","KAB. BANDUNG BARAT","66%off2nd Red Celana Jeans Legend Slim Fit Premium Bahan Melar Warna Biru Muda 133266Diskon 10%Rp399.900Rp135.0004,4RB TerjualKAB. BANDUNG BARAT","https://shopee.co.id/2nd-Red-Celana-Jeans-Legend-Slim-Fit-Premium-Bahan-Melar-Warna-Biru-Muda-133266-i.23917033.1889960272?sp_atk=0cc74a1e-5176-4644-89e6-6a3d9fc0c1c5&xptdk=0cc74a1e-5176-4644-89e6-6a3d9fc0c1c5","null","null","null","null","null"
"1669205295-8","https://shopee.co.id/mall/brands/11042849","2FAB4YOU","https://shopee.co.id/2fab4you","","149","34% (hitungan menit)","1,9RB","4.9 (426 penilaian)","4 tahun lalu","null","KOTA JAKARTA BARAT","2FAB4YOU T-shirt OG FLAMINGO White/Putih - Pria/WanitaRp199.00013 TerjualKOTA JAKARTA BARAT","https://shopee.co.id/2FAB4YOU-T-shirt-OG-FLAMINGO-White-Putih-Pria-Wanita-i.73775993.2881168942?sp_atk=b0b595e4-5e1f-46f3-9caf-829723015372&xptdk=b0b595e4-5e1f-46f3-9caf-829723015372","null","null","null","null","null"
"1669205327-9","https://shopee.co.id/mall/brands/11042849","17Seven","https://shopee.co.id/seventeenseven","","1,8RB","78% (hitungan jam)","80,6RB","4.7 (48,8RB penilaian)","4 tahun lalu","null","KOTA JAKARTA TIMUR","78%off17Seven Original Celana Panjang Chino 015-HITAM-AKMurah LebayRp90.000 - Rp99.00010RB+ TerjualKOTA JAKARTA TIMUR","https://shopee.co.id/17Seven-Original-Celana-Panjang-Chino-015-HITAM-AK-i.91485121.7350661850?sp_atk=65645b6f-9f6e-438c-9bad-f9f057780b4c&xptdk=65645b6f-9f6e-438c-9bad-f9f057780b4c","null","null","null","null","null"
"1669205351-10","https://shopee.co.id/mall/brands/11042849","07:35","https://shopee.co.id/0735_apparel","","52","71% (hitungan jam)","9,4RB","4.9 (1,4RB penilaian)","27 bulan lalu","null","KOTA JAKARTA UTARA","07:35 - Random SaleRp73.500244 TerjualKOTA JAKARTA UTARA","https://shopee.co.id/07-35-Random-Sale-i.298491252.9975420944?sp_atk=d7223c74-eede-47e2-a41c-986cb641a8da&xptdk=d7223c74-eede-47e2-a41c-986cb641a8da","null","null","null","null","null"
"1669205378-11","https://shopee.co.id/mall/brands/11042849","Zweckout Label","https://shopee.co.id/zweckout_label.official","","83","96% (hitungan jam)","15,6RB","4.6 (16,2RB penilaian)","5 tahun lalu","null","KAB. BANDUNG","44%offZWECKOUT LABEL - Celana Joger Slim Fit Skinny Jogger Pants Pria Korean Style HitamDiskon Rp5RBMurah LebayRp160.000Rp89.00010RB+ TerjualKAB. BANDUNG","https://shopee.co.id/ZWECKOUT-LABEL-Celana-Joger-Slim-Fit-Skinny-Jogger-Pants-Pria-Korean-Style-Hitam-i.59825614.6716661856?sp_atk=f9391e12-ab64-4068-ac7d-be9672b544be&xptdk=f9391e12-ab64-4068-ac7d-be9672b544be","null","null","null","null","null"
"1669205402-12","https://shopee.co.id/mall/brands/11042849","Zhon Army","https://shopee.co.id/zhonarmy","","37","72% (hitungan jam)","5,3RB","4.5 (215 penilaian)","4 bulan lalu","null","KAB. BANDUNG","ZHON ARMY - Ciel UnderPants - Cd Boxer Pria RandomDiskon 90%Rp50.000 - Rp200.000466 TerjualKAB. BANDUNG","https://shopee.co.id/ZHON-ARMY-Ciel-UnderPants-Cd-Boxer-Pria-Random-i.832121891.16581051299?sp_atk=3cf6cd19-6dfa-4f64-b0d3-756e9a5c8a84&xptdk=3cf6cd19-6dfa-4f64-b0d3-756e9a5c8a84","null","null","null","null","null"
"1669205427-13","https://shopee.co.id/mall/brands/11042849","ZG Zegoboss","https://shopee.co.id/zgzegoboss","","54","84% (hitungan jam)","5,1RB","4.8 (1RB penilaian)","26 bulan lalu","null","KOTA JAKARTA PUSAT","65%offZEGO BOSS Celana Panjang Jeans Stretch Denim Regular Fit (Solid Black)Murah LebayRp199.900 - Rp239.900443 TerjualKOTA JAKARTA PUSAT","https://shopee.co.id/ZEGO-BOSS-Celana-Panjang-Jeans-Stretch-Denim-Regular-Fit-(Solid-Black)-i.307319831.7351957312?sp_atk=81e1c561-c8b4-4ead-9b60-eb09db3904bc&xptdk=81e1c561-c8b4-4ead-9b60-eb09db3904bc","null","null","null","null","null"
"1669205455-14","https://shopee.co.id/mall/brands/11042849","ZeroTwentyTwo","https://shopee.co.id/zerotwentytwo.id","","715","84% (hitungan jam)","72,2RB","4.8 (18,9RB penilaian)","3 tahun lalu","null","KOTA BANDUNG","46%offZeroTwentyTwo T-shirt Transfer Black | Kaos Pria Parodi Plesetan Lucu ThrasherDiskon Rp2RBPilih 2, bayar Rp189.000Rp175.000Rp94.000875 TerjualKOTA BANDUNG","https://shopee.co.id/ZeroTwentyTwo-T-shirt-Transfer-Black-Kaos-Pria-Parodi-Plesetan-Lucu-Thrasher-i.175877695.7115926408?sp_atk=4fc141fe-cbd9-4098-9dd3-9cdc4eb81473&xptdk=4fc141fe-cbd9-4098-9dd3-9cdc4eb81473","null","null","null","null","null"
"1669205482-15","https://shopee.co.id/mall/brands/11042849","ZEROHEROES","https://shopee.co.id/zeroheroes.original","","435","97% (hitungan jam)","35,9RB","4.9 (12,3RB penilaian)","4 tahun lalu","null","KAB. MALANG","44%offZeroheroes | Kaos Kaki Tebal Premium Motif Garis OldschoolDiskon Rp1RBMurah LebayRp35.000Rp19.7002,3RB TerjualKAB. MALANG","https://shopee.co.id/Zeroheroes-Kaos-Kaki-Tebal-Premium-Motif-Garis-Oldschool-i.96006998.7450999154?sp_atk=54c50303-b333-4669-a9c9-9d0ca702aac6&xptdk=54c50303-b333-4669-a9c9-9d0ca702aac6","null","null","null","null","null"
"1669205509-16","https://shopee.co.id/mall/brands/11042849","Zaskia Mecca","https://shopee.co.id/zaskiamecca.official","","1,3RB","100% (hitungan jam)","1,9JT","4.8 (889,4RB penilaian)","6 tahun lalu","null","KOTA DEPOK","65%offZM Zaskia Mecca - Penyengat Dusty Green Scarf Kerudung Segi Empat Ultra SonicDiskon 10%Pilih 3, diskon 5%Rp189.000Rp67.0001,4RB TerjualKOTA DEPOK","https://shopee.co.id/ZM-Zaskia-Mecca-Penyengat-Dusty-Green-Scarf-Kerudung-Segi-Empat-Ultra-Sonic-i.12654106.6984957612?sp_atk=7837c60f-3631-4366-ab40-12352ab93043&xptdk=7837c60f-3631-4366-ab40-12352ab93043","null","null","null","null","null"
"1669205534-17","https://shopee.co.id/mall/brands/11042849","Zanetti","https://shopee.co.id/zanettiofficial","","33","100%","822","4.9 (16 penilaian)","27 bulan lalu","null","KOTA JAKARTA UTARA","ZL 75004 Zanetti Kemeja Basic Polos Slim Fit Lengan Panjang Hitam PekatRp249.0003 TerjualKOTA JAKARTA UTARA","https://shopee.co.id/ZL-75004-Zanetti-Kemeja-Basic-Polos-Slim-Fit-Lengan-Panjang-Hitam-Pekat-i.300622025.9010811787?sp_atk=69ae2a1e-0074-4a3a-98a1-3fc969ef51ff&xptdk=69ae2a1e-0074-4a3a-98a1-3fc969ef51ff","null","null","null","null","null"
"1669205560-18","https://shopee.co.id/mall/brands/11042849","Zalora","https://shopee.co.id/tolliverofficialshop","","3,3RB","99% (hitungan jam)","120,2RB","4.8 (13,7RB penilaian)","3 tahun lalu","null","KOTA BEKASI","60%offTolliver Hoodies With Zipper NavyDiskon 5%Rp349.000Rp139.000233 TerjualKOTA BEKASI","https://shopee.co.id/Tolliver-Hoodies-With-Zipper-Navy-i.166667048.4439560886?sp_atk=cd013450-42f9-4505-b479-6d83dff70f95&xptdk=cd013450-42f9-4505-b479-6d83dff70f95","null","null","null","null","null"
